epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.038,1.33231,1.82963,1.51305,0.71984,0.84037,0.82933,0.51415,1.2159,0.88191,1.3969,0.00332894,0.00332894,0.00332894
2,447.044,1.22589,1.21747,1.36531,0.74507,0.70807,0.77426,0.47166,1.2397,1.11239,1.41168,0.00660731,0.00660731,0.00660731
3,665.703,1.30122,1.31469,1.41506,0.64289,0.75938,0.77867,0.4601,1.36706,1.13485,1.47583,0.00983068,0.00983068,0.00983068
4,883.925,1.34768,1.38943,1.44775,0.80908,0.70059,0.80371,0.47132,1.3184,1.14914,1.43747,0.0097525,0.0097525,0.0097525
5,1102.09,1.29595,1.29909,1.41727,0.77066,0.7654,0.8135,0.50059,1.2542,1.02942,1.41125,0.00967,0.00967,0.00967
6,1321.49,1.24667,1.21499,1.38393,0.79824,0.74725,0.80379,0.49827,1.21438,1.0383,1.37363,0.0095875,0.0095875,0.0095875
7,1539.4,1.21585,1.15676,1.36676,0.79834,0.78772,0.84166,0.53337,1.19671,0.87792,1.37296,0.009505,0.009505,0.009505
8,1758.77,1.18909,1.10601,1.34173,0.84004,0.80741,0.87078,0.56157,1.15949,0.83323,1.37444,0.0094225,0.0094225,0.0094225
9,1977.21,1.1569,1.06805,1.32127,0.83173,0.82886,0.87298,0.56815,1.13613,0.83937,1.31759,0.00934,0.00934,0.00934
10,2195.24,1.13934,1.0443,1.31305,0.86569,0.84033,0.8967,0.59855,1.09875,0.78175,1.29296,0.0092575,0.0092575,0.0092575
11,2414.27,1.11687,1.00596,1.29191,0.84241,0.86029,0.89125,0.5906,1.11068,0.76532,1.29087,0.009175,0.009175,0.009175
12,2632.31,1.09658,0.9739,1.28219,0.84092,0.87252,0.89263,0.59363,1.10976,0.76839,1.29879,0.0090925,0.0090925,0.0090925
13,2851.58,1.08921,0.96326,1.28328,0.8337,0.82974,0.88847,0.59811,1.06344,0.78707,1.26648,0.00901,0.00901,0.00901
14,3070.21,1.07885,0.94165,1.26355,0.85098,0.87336,0.89561,0.60349,1.08234,0.73122,1.26831,0.0089275,0.0089275,0.0089275
