epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.503,1.33735,1.85176,1.52233,0.69634,0.69069,0.74492,0.45219,1.30722,1.16466,1.3989,0.00332894,0.00332894,0.00332894
2,477.135,1.23926,1.22057,1.3639,0.74516,0.76668,0.82869,0.49313,1.25939,1.09386,1.43508,0.00660731,0.00660731,0.00660731
3,715.852,1.30007,1.31795,1.41432,0.68081,0.73248,0.7908,0.45618,1.33756,1.11862,1.46525,0.00983068,0.00983068,0.00983068
4,951.669,1.3595,1.40671,1.46409,0.67203,0.69623,0.75355,0.43768,1.38807,1.1147,1.51621,0.0097525,0.0097525,0.0097525
5,1187.01,1.30062,1.30361,1.42475,0.78138,0.7438,0.8033,0.48916,1.28913,1.0175,1.43206,0.00967,0.00967,0.00967
6,1421.79,1.24549,1.20075,1.38659,0.79325,0.77787,0.84368,0.53503,1.22081,0.94189,1.38816,0.0095875,0.0095875,0.0095875
7,1656.15,1.22097,1.14796,1.37005,0.79705,0.8239,0.84736,0.53515,1.19904,0.86984,1.37524,0.009505,0.009505,0.009505
8,1891.79,1.19164,1.10621,1.34758,0.85775,0.77205,0.86956,0.55868,1.14892,0.83501,1.34845,0.0094225,0.0094225,0.0094225
9,2126.51,1.16387,1.06988,1.3267,0.82266,0.8267,0.8706,0.56546,1.15708,0.8443,1.32582,0.00934,0.00934,0.00934
10,2361.11,1.14156,1.03291,1.31517,0.83247,0.84915,0.86545,0.56684,1.13988,0.79946,1.33247,0.0092575,0.0092575,0.0092575
11,2595.44,1.12003,0.99968,1.29694,0.80695,0.80824,0.86463,0.5572,1.16095,0.82435,1.34026,0.009175,0.009175,0.009175
12,2830.04,1.09868,0.98078,1.28571,0.87723,0.83917,0.8951,0.59585,1.11535,0.75153,1.30542,0.0090925,0.0090925,0.0090925
13,3056.1,1.09642,0.95584,1.2843,0.84764,0.85704,0.89027,0.60364,1.06586,0.73201,1.26856,0.00901,0.00901,0.00901
14,3274.36,1.08588,0.94335,1.27713,0.86495,0.83427,0.89311,0.60119,1.10052,0.74325,1.29876,0.0089275,0.0089275,0.0089275
15,3492.72,1.0689,0.91919,1.26915,0.84239,0.84065,0.87951,0.59431,1.10138,0.75121,1.28834,0.008845,0.008845,0.008845
16,3710.93,1.04884,0.9033,1.25805,0.83062,0.86642,0.89893,0.61437,1.06587,0.68417,1.28492,0.0087625,0.0087625,0.0087625
17,3929.94,1.04413,0.89296,1.25398,0.87,0.8456,0.8945,0.6125,1.06057,0.7029,1.27833,0.00868,0.00868,0.00868
18,4148.27,1.03715,0.8794,1.24767,0.84301,0.84852,0.88429,0.60629,1.07349,0.74689,1.27896,0.0085975,0.0085975,0.0085975
19,4366.44,1.02675,0.86488,1.2419,0.88311,0.87287,0.91536,0.6328,1.0694,0.68262,1.26998,0.008515,0.008515,0.008515
20,4584.5,1.01588,0.85271,1.23556,0.86161,0.87229,0.91775,0.64076,1.05168,0.66514,1.26454,0.0084325,0.0084325,0.0084325
21,4803.42,1.01155,0.83544,1.22696,0.86273,0.88117,0.9084,0.6279,1.04533,0.67734,1.24926,0.00835,0.00835,0.00835
22,5021.96,0.99387,0.82565,1.21746,0.83775,0.86151,0.90851,0.63692,1.01834,0.6703,1.24411,0.0082675,0.0082675,0.0082675
23,5239.85,0.99489,0.82208,1.2195,0.8744,0.86786,0.90507,0.63232,1.04621,0.67084,1.26259,0.008185,0.008185,0.008185
24,5458.24,0.97909,0.80711,1.2091,0.85305,0.89615,0.92069,0.64895,1.02918,0.64308,1.24748,0.0081025,0.0081025,0.0081025
25,5677.07,0.9746,0.78665,1.20441,0.87722,0.85752,0.90136,0.64812,1.00909,0.67832,1.23954,0.00802,0.00802,0.00802
26,5895.18,0.97074,0.78481,1.1988,0.84634,0.85631,0.88606,0.62867,1.00997,0.68471,1.22513,0.0079375,0.0079375,0.0079375
27,6113.94,0.9597,0.7766,1.1958,0.85086,0.84168,0.90232,0.64508,1.00042,0.69771,1.22895,0.007855,0.007855,0.007855
28,6331.71,0.95215,0.77343,1.19192,0.83769,0.87234,0.89938,0.63626,1.02397,0.67108,1.25126,0.0077725,0.0077725,0.0077725
29,6549.81,0.95261,0.76112,1.1839,0.85833,0.87085,0.91199,0.65384,0.99451,0.63215,1.21537,0.00769,0.00769,0.00769
30,6768.82,0.94762,0.75795,1.18007,0.86969,0.87051,0.90949,0.64641,1.02654,0.66509,1.24359,0.0076075,0.0076075,0.0076075
