epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.471,1.26854,2.1406,1.45608,0.60437,0.63444,0.67643,0.43342,1.1051,1.27452,1.29054,0.00332981,0.00332981,0.00332981
2,570.561,1.17932,1.45989,1.33339,0.59431,0.62971,0.6472,0.40839,1.14838,1.3781,1.33369,0.00660818,0.00660818,0.00660818
3,842.664,1.24484,1.52612,1.37001,0.60489,0.57479,0.6161,0.35496,1.34386,1.51161,1.49639,0.00983154,0.00983154,0.00983154
4,1114.04,1.29154,1.57388,1.40744,0.62408,0.64622,0.66664,0.40032,1.23746,1.33306,1.3948,0.0097525,0.0097525,0.0097525
5,1386.27,1.23144,1.45867,1.36727,0.6391,0.71733,0.72529,0.46044,1.12896,1.21973,1.30864,0.00967,0.00967,0.00967
6,1657.83,1.19038,1.38726,1.34188,0.6941,0.72333,0.73922,0.44956,1.22384,1.15622,1.38038,0.0095875,0.0095875,0.0095875
7,1930.38,1.15409,1.3137,1.31693,0.74701,0.72082,0.79146,0.51644,1.13494,1.02546,1.33202,0.009505,0.009505,0.009505
8,2202.96,1.1299,1.25605,1.29715,0.72664,0.71616,0.7814,0.52368,1.0826,1.05336,1.27348,0.0094225,0.0094225,0.0094225
9,2474.17,1.10917,1.21171,1.28512,0.75051,0.73205,0.81289,0.54701,1.09,1.01291,1.27611,0.00934,0.00934,0.00934
10,2745.47,1.08642,1.1803,1.27647,0.7465,0.73433,0.80283,0.5454,1.04913,1.00669,1.26615,0.0092575,0.0092575,0.0092575
11,3018.14,1.06546,1.14766,1.25499,0.7514,0.77223,0.82286,0.56013,1.0597,0.98336,1.2497,0.009175,0.009175,0.009175
12,3290.74,1.05645,1.11502,1.25086,0.77723,0.72066,0.80976,0.55518,1.03063,0.99935,1.23467,0.0090925,0.0090925,0.0090925
13,3563.87,1.04564,1.09872,1.24122,0.76738,0.74211,0.81462,0.55298,1.05083,0.97058,1.2566,0.00901,0.00901,0.00901
14,3836.33,1.03107,1.07556,1.23255,0.79292,0.73151,0.82127,0.57029,1.03166,0.9327,1.23807,0.0089275,0.0089275,0.0089275
15,4108.39,1.01822,1.05473,1.22502,0.77574,0.73363,0.8041,0.55991,1.02157,0.9684,1.2543,0.008845,0.008845,0.008845
16,4381.24,1.0082,1.0454,1.22316,0.7651,0.76517,0.81137,0.5654,1.00631,0.95251,1.22932,0.0087625,0.0087625,0.0087625
17,4653.85,0.99586,1.01453,1.21243,0.79474,0.76391,0.84585,0.58762,1.03415,0.88324,1.24101,0.00868,0.00868,0.00868
18,4927.56,0.99257,1.0036,1.21127,0.8022,0.77107,0.85176,0.60314,1.00848,0.87786,1.22476,0.0085975,0.0085975,0.0085975
19,5198.89,0.98735,0.99871,1.20604,0.81757,0.77498,0.83946,0.59054,1.01755,0.87975,1.23551,0.008515,0.008515,0.008515
20,5470.58,0.97159,0.97603,1.20256,0.75259,0.76798,0.84048,0.59923,1.00102,0.88351,1.23514,0.0084325,0.0084325,0.0084325
21,5741.87,0.97455,0.97237,1.19611,0.76256,0.78831,0.8425,0.59723,1.02153,0.88519,1.23122,0.00835,0.00835,0.00835
22,6013.95,0.95921,0.95399,1.19278,0.78631,0.76751,0.83522,0.59613,0.99231,0.89587,1.22137,0.0082675,0.0082675,0.0082675
23,6286.01,0.95639,0.94061,1.18336,0.82812,0.74822,0.85586,0.61247,0.98813,0.83759,1.21915,0.008185,0.008185,0.008185
24,6558.12,0.94624,0.93953,1.17774,0.79203,0.78539,0.84905,0.61288,0.97441,0.8636,1.19828,0.0081025,0.0081025,0.0081025
25,6829.42,0.93561,0.91168,1.17367,0.78616,0.79335,0.84916,0.61014,0.98346,0.84801,1.22497,0.00802,0.00802,0.00802
26,7102.75,0.932,0.90857,1.17203,0.80453,0.75838,0.85089,0.61134,0.97908,0.85775,1.20409,0.0079375,0.0079375,0.0079375
27,7375.88,0.92767,0.90435,1.16527,0.80195,0.77957,0.85855,0.61473,0.99376,0.83453,1.21119,0.007855,0.007855,0.007855
28,7648.55,0.92325,0.89113,1.16542,0.80962,0.77195,0.85802,0.61437,0.98968,0.82581,1.2103,0.0077725,0.0077725,0.0077725
29,7920.81,0.91775,0.88876,1.15896,0.83248,0.7596,0.85833,0.61723,0.98455,0.82941,1.20005,0.00769,0.00769,0.00769
30,8194.43,0.91061,0.88076,1.15623,0.81092,0.76797,0.85535,0.61898,0.96543,0.85275,1.187,0.0076075,0.0076075,0.0076075
31,8466.27,0.9092,0.87189,1.15342,0.82771,0.76771,0.85605,0.61972,0.95949,0.84284,1.18328,0.007525,0.007525,0.007525
32,8738.22,0.90501,0.85772,1.14466,0.80685,0.78612,0.85749,0.62242,0.96327,0.82941,1.18476,0.0074425,0.0074425,0.0074425
33,9009.91,0.89831,0.85164,1.15035,0.82138,0.76269,0.85704,0.61974,0.96514,0.83933,1.19071,0.00736,0.00736,0.00736
34,9280.78,0.89515,0.84781,1.1465,0.80366,0.7792,0.8541,0.61818,0.97117,0.84238,1.19312,0.0072775,0.0072775,0.0072775
35,9551.43,0.89128,0.83154,1.13821,0.81675,0.76388,0.8518,0.61872,0.97584,0.83518,1.18823,0.007195,0.007195,0.007195
36,9823.38,0.88771,0.83205,1.13835,0.78241,0.80163,0.85888,0.61995,0.98259,0.83263,1.19552,0.0071125,0.0071125,0.0071125
37,10094.6,0.88212,0.83237,1.13606,0.81931,0.77936,0.86319,0.62448,0.95939,0.83665,1.1764,0.00703,0.00703,0.00703
